date,price,discount,is_holiday,cases_sold,day_of_week
2025-08-07,17.89,0.08,0,1238,Thursday
2025-08-08,22.88,0.3,0,1639,Friday
2025-08-09,23.45,0.05,0,838,Saturday
2025-08-10,24.18,0.2,0,1419,Sunday
2025-08-11,19.1,0.02,0,753,Monday
2025-08-12,18.29,0.02,0,1151,Tuesday
2025-08-13,21.14,0.05,0,1031,Wednesday
2025-08-14,21.36,0.02,0,776,Thursday
2025-08-15,23.64,0.15,0,1129,Friday
2025-08-16,22.43,0.05,0,1206,Saturday
2025-08-17,18.45,0.0,0,1293,Sunday
2025-08-18,20.25,0.0,0,570,Monday
2025-08-19,23.83,0.0,0,693,Tuesday
2025-08-20,20.28,0.02,0,857,Wednesday
2025-08-21,23.54,0.1,0,680,Thursday
2025-08-22,20.71,0.3,0,1790,Friday
2025-08-23,20.95,0.1,0,1172,Saturday
2025-08-24,18.03,0.0,0,1278,Sunday
2025-08-25,18.4,0.0,0,963,Monday
2025-08-26,18.77,0.0,0,779,Tuesday
2025-08-27,23.78,0.0,0,398,Wednesday
2025-08-28,18.85,0.0,0,946,Thursday
2025-08-29,18.68,0.05,0,1061,Friday
2025-08-30,18.94,0.1,0,1355,Saturday
2025-08-31,21.02,0.2,0,1589,Sunday
2025-09-01,23.62,0.1,0,904,Monday
2025-09-02,17.93,0.0,0,1028,Tuesday
2025-09-03,18.79,0.0,0,981,Wednesday
2025-09-04,20.09,0.0,0,611,Thursday
2025-09-05,20.74,0.25,0,1783,Friday
2025-09-06,17.76,0.05,0,1462,Saturday
2025-09-07,21.08,0.15,0,1531,Sunday
2025-09-08,18.25,0.0,0,738,Monday
2025-09-09,19.38,0.0,0,870,Tuesday
2025-09-10,17.64,0.0,0,899,Wednesday
2025-09-11,18.34,0.08,0,1074,Thursday
2025-09-12,21.66,0.2,0,1374,Friday
2025-09-13,18.11,0.15,0,1894,Saturday
2025-09-14,21.61,0.25,0,1679,Sunday
2025-09-15,19.49,0.0,0,815,Monday
2025-09-16,22.02,0.02,0,550,Tuesday
2025-09-17,18.21,0.0,0,1001,Wednesday
2025-09-18,19.22,0.0,0,787,Thursday
2025-09-19,18.71,0.25,0,1668,Friday
2025-09-20,18.06,0.15,0,1752,Saturday
2025-09-21,18.28,0.1,0,1522,Sunday
2025-09-22,24.29,0.08,0,689,Monday
2025-09-23,18.7,0.02,0,1058,Tuesday
2025-09-24,24.01,0.02,0,368,Wednesday
2025-09-25,22.89,0.0,0,648,Thursday
2025-09-26,19.77,0.15,0,1146,Friday
2025-09-27,18.3,0.2,0,1883,Saturday
2025-09-28,19.52,0.15,0,1603,Sunday
2025-09-29,21.23,0.0,0,562,Monday
2025-09-30,19.86,0.0,0,931,Tuesday
2025-10-01,19.28,0.02,0,854,Wednesday
2025-10-02,22.82,0.02,0,361,Thursday
2025-10-03,19.94,0.3,0,1758,Friday
2025-10-04,23.31,0.3,0,1896,Saturday
2025-10-05,24.07,0.0,0,672,Sunday
2025-10-06,17.97,0.05,0,1267,Monday
2025-10-07,18.48,0.05,0,1119,Tuesday
2025-10-08,18.91,0.0,0,929,Wednesday
2025-10-09,22.16,0.02,0,657,Thursday
2025-10-10,20.01,0.25,0,1818,Friday
2025-10-11,20.57,0.1,0,1308,Saturday
2025-10-12,20.74,0.1,0,1346,Sunday
2025-10-13,19.13,0.08,0,1346,Monday
2025-10-14,20.19,0.02,0,884,Tuesday
2025-10-15,18.32,0.1,0,1368,Wednesday
2025-10-16,21.89,0.0,0,698,Thursday
2025-10-17,21.84,0.15,0,1137,Friday
2025-10-18,23.76,0.25,0,1587,Saturday
2025-10-19,19.24,0.25,0,1880,Sunday
2025-10-20,17.73,0.02,0,1097,Monday
2025-10-21,19.89,0.08,0,1128,Tuesday
2025-10-22,18.27,0.08,0,1177,Wednesday
2025-10-23,23.08,0.0,0,451,Thursday
2025-10-24,19.1,0.25,0,1846,Friday
2025-10-25,22.36,0.15,0,1560,Saturday
2025-10-26,19.26,0.1,0,1242,Sunday
2025-10-27,20.73,0.1,0,1274,Monday
2025-10-28,18.57,0.02,0,1270,Tuesday
2025-10-29,17.63,0.08,0,1273,Wednesday
2025-10-30,24.02,0.02,0,626,Thursday
2025-10-31,22.45,0.0,0,643,Friday
2025-11-01,21.53,0.2,0,1826,Saturday
2025-11-02,24.04,0.3,0,1735,Sunday
2025-11-03,20.66,0.0,0,757,Monday
2025-11-04,21.64,0.0,0,808,Tuesday
2025-11-05,17.88,0.0,0,837,Wednesday
2025-11-06,21.26,0.1,0,856,Thursday
2025-11-07,19.92,0.1,0,1115,Friday
2025-11-08,19.07,0.15,0,1845,Saturday
2025-11-09,18.49,0.0,0,839,Sunday
2025-11-10,23.9,0.0,0,500,Monday
2025-11-11,21.56,0.02,0,720,Tuesday
2025-11-12,18.1,0.1,0,1159,Wednesday
2025-11-13,21.02,0.02,0,795,Thursday
2025-11-14,18.97,0.25,0,1749,Friday
2025-11-15,18.94,0.0,0,1125,Saturday
2025-11-16,21.45,0.0,0,876,Sunday
2025-11-17,22.93,0.0,0,262,Monday
2025-11-18,20.31,0.02,0,977,Tuesday
2025-11-19,18.59,0.0,0,736,Wednesday
2025-11-20,22.01,0.0,0,555,Thursday
2025-11-21,17.68,0.0,0,1086,Friday
2025-11-22,17.69,0.05,0,1550,Saturday
2025-11-23,19.12,0.2,0,1753,Sunday
2025-11-24,22.07,0.0,0,703,Monday
2025-11-25,18.2,0.0,0,1020,Tuesday
2025-11-26,23.31,0.0,1,1005,Wednesday
2025-11-27,22.18,0.0,0,707,Thursday
2025-11-28,17.59,0.0,0,943,Friday
2025-11-29,18.96,0.0,0,1167,Saturday
2025-11-30,20.45,0.25,0,1741,Sunday
2025-12-01,23.22,0.0,0,473,Monday
2025-12-02,21.63,0.0,0,508,Tuesday
2025-12-03,21.87,0.0,0,409,Wednesday
2025-12-04,19.56,0.1,0,1386,Thursday
2025-12-05,22.85,0.0,0,581,Friday
2025-12-06,23.76,0.25,0,1775,Saturday
2025-12-07,20.48,0.0,0,1050,Sunday
2025-12-08,21.93,0.0,0,450,Monday
2025-12-09,18.48,0.08,0,1196,Tuesday
2025-12-10,18.7,0.0,0,939,Wednesday
2025-12-11,17.63,0.1,0,1351,Thursday
2025-12-12,19.42,0.15,0,1251,Friday
2025-12-13,22.06,0.25,0,1801,Saturday
2025-12-14,21.7,0.2,0,1740,Sunday
2025-12-15,18.73,0.1,0,1024,Monday
2025-12-16,21.13,0.0,0,561,Tuesday
2025-12-17,18.66,0.05,0,1097,Wednesday
2025-12-18,19.22,0.0,0,767,Thursday
2025-12-19,19.52,0.1,0,1068,Friday
2025-12-20,21.46,0.15,0,1591,Saturday
2025-12-21,22.15,0.3,0,1835,Sunday
2025-12-22,17.72,0.0,0,1055,Monday
2025-12-23,21.67,0.0,0,981,Tuesday
2025-12-24,19.84,0.05,0,975,Wednesday
2025-12-25,18.25,0.0,1,1327,Thursday
2025-12-26,22.32,0.15,0,1363,Friday
2025-12-27,19.22,0.25,0,2059,Saturday
2025-12-28,19.41,0.15,0,1735,Sunday
2025-12-29,20.03,0.0,0,788,Monday
2025-12-30,18.8,0.02,0,1034,Tuesday
2025-12-31,23.61,0.05,0,771,Wednesday
2026-01-01,22.35,0.08,1,1433,Thursday
2026-01-02,19.25,0.15,0,1432,Friday
2026-01-03,18.76,0.15,0,1692,Saturday
2026-01-04,23.91,0.0,0,627,Sunday
2026-01-05,23.97,0.1,0,978,Monday
2026-01-06,24.11,0.0,0,495,Tuesday
2026-01-07,19.73,0.08,0,1103,Wednesday
2026-01-08,17.76,0.02,0,985,Thursday
2026-01-09,18.04,0.2,0,1609,Friday
2026-01-10,19.88,0.25,0,1911,Saturday
2026-01-11,21.28,0.25,0,1776,Sunday
2026-01-12,19.73,0.02,0,922,Monday
2026-01-13,19.13,0.0,0,972,Tuesday
2026-01-14,23.59,0.0,0,540,Wednesday
2026-01-15,24.07,0.05,0,797,Thursday
2026-01-16,24.49,0.1,0,751,Friday
2026-01-17,20.86,0.2,0,1854,Saturday
2026-01-18,23.62,0.3,0,1775,Sunday
2026-01-19,20.45,0.05,0,1115,Monday
2026-01-20,19.17,0.0,0,700,Tuesday
2026-01-21,19.57,0.0,0,722,Wednesday
2026-01-22,17.79,0.0,0,961,Thursday
2026-01-23,20.19,0.2,0,1513,Friday
2026-01-24,19.03,0.3,0,2290,Saturday
2026-01-25,24.11,0.15,0,1241,Sunday
2026-01-26,21.79,0.0,0,685,Monday
2026-01-27,21.75,0.02,0,797,Tuesday
2026-01-28,19.11,0.0,0,791,Wednesday
2026-01-29,22.96,0.0,0,511,Thursday
2026-01-30,17.9,0.3,0,2177,Friday
2026-01-31,22.37,0.0,0,803,Saturday
2026-02-01,23.21,0.05,0,1008,Sunday
2026-02-02,21.65,0.02,0,564,Monday
2026-02-03,18.14,0.08,0,1145,Tuesday
2026-02-04,23.72,0.1,0,824,Wednesday
2026-02-05,23.53,0.08,0,894,Thursday
2026-02-06,18.11,0.15,0,1707,Friday
2026-02-07,20.11,0.05,0,1212,Saturday
2026-02-08,18.07,0.05,0,1585,Sunday
2026-02-09,22.28,0.0,0,627,Monday
2026-02-10,20.86,0.02,0,948,Tuesday
2026-02-11,23.27,0.0,0,636,Wednesday
2026-02-12,19.37,0.08,0,1348,Thursday
2026-02-13,23.08,0.2,0,1367,Friday
2026-02-14,22.38,0.2,0,1632,Saturday
2026-02-15,21.83,0.25,0,1767,Sunday
2026-02-16,19.85,0.05,0,1003,Monday
2026-02-17,18.63,0.08,0,1186,Tuesday
2026-02-18,17.54,0.0,0,1137,Wednesday
2026-02-19,21.82,0.1,0,850,Thursday
2026-02-20,21.94,0.15,0,1269,Friday
2026-02-21,22.96,0.0,0,857,Saturday
2026-02-22,24.24,0.1,0,1271,Sunday
2026-02-23,21.93,0.1,0,951,Monday
2026-02-24,19.61,0.05,0,1027,Tuesday
2026-02-25,17.97,0.02,0,1165,Wednesday
2026-02-26,17.82,0.08,0,1060,Thursday
2026-02-27,24.31,0.3,0,1459,Friday
2026-02-28,22.81,0.0,0,884,Saturday
2026-03-01,17.65,0.1,0,1764,Sunday
2026-03-02,22.28,0.0,0,621,Monday
2026-03-03,19.42,0.1,0,1019,Tuesday
2026-03-04,18.65,0.05,0,812,Wednesday
2026-03-05,22.36,0.0,0,652,Thursday
2026-03-06,22.08,0.05,0,751,Friday
2026-03-07,24.16,0.0,0,816,Saturday
2026-03-08,20.44,0.2,0,1705,Sunday
2026-03-09,20.28,0.0,0,773,Monday
2026-03-10,23.76,0.0,0,547,Tuesday
2026-03-11,18.99,0.0,0,725,Wednesday
2026-03-12,23.55,0.0,0,707,Thursday
2026-03-13,24.28,0.0,0,520,Friday
2026-03-14,22.9,0.25,0,1762,Saturday
2026-03-15,22.83,0.2,0,1561,Sunday
2026-03-16,23.08,0.0,0,654,Monday
2026-03-17,18.32,0.0,0,844,Tuesday
2026-03-18,18.9,0.0,0,1098,Wednesday
2026-03-19,17.95,0.02,0,1124,Thursday
2026-03-20,19.67,0.15,0,1271,Friday
2026-03-21,17.58,0.0,0,1177,Saturday
2026-03-22,21.7,0.05,0,806,Sunday
2026-03-23,22.36,0.08,0,786,Monday
2026-03-24,19.19,0.1,0,1205,Tuesday
2026-03-25,18.5,0.0,0,1092,Wednesday
2026-03-26,21.42,0.0,0,798,Thursday
2026-03-27,19.79,0.15,0,1311,Friday
2026-03-28,17.73,0.0,0,1138,Saturday
2026-03-29,20.28,0.0,0,1244,Sunday
2026-03-30,23.1,0.0,0,644,Monday
2026-03-31,18.67,0.0,0,1067,Tuesday
2026-04-01,17.72,0.1,0,1431,Wednesday
2026-04-02,17.86,0.02,0,1114,Thursday
2026-04-03,22.5,0.25,0,1534,Friday
2026-04-04,19.88,0.25,0,2092,Saturday
2026-04-05,20.67,0.2,0,1723,Sunday
2026-04-06,21.18,0.05,0,808,Monday
2026-04-07,23.6,0.0,0,471,Tuesday
2026-04-08,24.33,0.0,0,537,Wednesday
2026-04-09,22.11,0.0,0,572,Thursday
2026-04-10,21.39,0.25,0,1575,Friday
2026-04-11,18.9,0.2,0,1846,Saturday
2026-04-12,18.01,0.0,0,1168,Sunday
2026-04-13,23.58,0.05,0,506,Monday
2026-04-14,22.7,0.0,0,450,Tuesday
2026-04-15,24.41,0.0,0,293,Wednesday
2026-04-16,23.57,0.02,0,804,Thursday
2026-04-17,20.91,0.25,0,1551,Friday
2026-04-18,23.8,0.15,0,1368,Saturday
2026-04-19,23.89,0.05,0,744,Sunday
2026-04-20,21.86,0.02,0,655,Monday
2026-04-21,22.51,0.1,0,1009,Tuesday
2026-04-22,18.76,0.0,0,889,Wednesday
2026-04-23,19.23,0.08,0,1278,Thursday
2026-04-24,20.62,0.15,0,1416,Friday
2026-04-25,18.64,0.1,0,1293,Saturday
2026-04-26,24.29,0.05,0,747,Sunday
2026-04-27,22.91,0.0,0,721,Monday
2026-04-28,24.29,0.0,0,487,Tuesday
2026-04-29,19.86,0.08,0,936,Wednesday
2026-04-30,20.52,0.0,0,941,Thursday
2026-05-01,18.67,0.0,0,1001,Friday
2026-05-02,17.76,0.25,0,2054,Saturday
2026-05-03,23.41,0.25,0,1918,Sunday
2026-05-04,21.6,0.08,0,928,Monday
2026-05-05,19.39,0.0,0,822,Tuesday
2026-05-06,21.22,0.1,0,1146,Wednesday
2026-05-07,19.71,0.02,0,882,Thursday
2026-05-08,17.79,0.0,0,1075,Friday
2026-05-09,20.68,0.15,0,1565,Saturday
2026-05-10,20.92,0.2,0,1813,Sunday
2026-05-11,18.91,0.02,0,826,Monday
2026-05-12,24.29,0.0,0,403,Tuesday
2026-05-13,23.58,0.0,0,761,Wednesday
2026-05-14,22.35,0.08,0,921,Thursday
2026-05-15,20.98,0.2,0,1470,Friday
2026-05-16,23.58,0.15,0,1439,Saturday
2026-05-17,19.01,0.2,0,1966,Sunday
2026-05-18,20.26,0.02,0,886,Monday
2026-05-19,24.5,0.0,0,371,Tuesday
2026-05-20,24.34,0.0,0,513,Wednesday
2026-05-21,21.47,0.05,0,915,Thursday
2026-05-22,23.65,0.15,0,1193,Friday
2026-05-23,23.15,0.25,0,1541,Saturday
2026-05-24,23.08,0.15,0,1325,Sunday
2026-05-25,21.31,0.0,0,716,Monday
2026-05-26,19.77,0.0,0,1008,Tuesday
2026-05-27,20.22,0.0,0,681,Wednesday
2026-05-28,19.16,0.0,0,1060,Thursday
2026-05-29,21.84,0.15,0,1308,Friday
2026-05-30,20.16,0.25,0,1613,Saturday
2026-05-31,17.68,0.1,0,1848,Sunday
2026-06-01,20.16,0.0,0,910,Monday
2026-06-02,21.76,0.05,0,1135,Tuesday
2026-06-03,23.19,0.05,0,826,Wednesday
2026-06-04,19.2,0.1,0,1243,Thursday
2026-06-05,17.92,0.3,0,1915,Friday
2026-06-06,20.9,0.05,0,1123,Saturday
2026-06-07,19.49,0.1,0,1459,Sunday
2026-06-08,19.68,0.02,0,1061,Monday
2026-06-09,22.51,0.0,0,493,Tuesday
2026-06-10,18.77,0.02,0,935,Wednesday
2026-06-11,18.77,0.02,0,890,Thursday
2026-06-12,21.47,0.05,0,903,Friday
2026-06-13,24.24,0.15,0,1283,Saturday
2026-06-14,17.8,0.2,0,2078,Sunday
2026-06-15,24.16,0.02,0,563,Monday
2026-06-16,19.1,0.0,0,872,Tuesday
2026-06-17,21.78,0.0,0,517,Wednesday
2026-06-18,22.96,0.0,0,494,Thursday
2026-06-19,23.26,0.15,0,999,Friday
2026-06-20,21.87,0.15,0,1468,Saturday
2026-06-21,21.61,0.0,0,1005,Sunday
2026-06-22,19.02,0.0,0,923,Monday
2026-06-23,17.67,0.02,0,1160,Tuesday
2026-06-24,19.12,0.0,0,1131,Wednesday
2026-06-25,21.66,0.0,0,579,Thursday
2026-06-26,20.5,0.25,0,1834,Friday
2026-06-27,22.35,0.3,0,1992,Saturday
2026-06-28,19.42,0.0,0,1288,Sunday
2026-06-29,18.1,0.08,0,1152,Monday
2026-06-30,19.09,0.0,0,746,Tuesday
2026-07-01,17.99,0.02,0,1048,Wednesday
2026-07-02,23.66,0.02,0,408,Thursday
2026-07-03,21.23,0.1,0,1205,Friday
2026-07-04,24.46,0.2,1,1670,Saturday
2026-07-05,21.4,0.25,0,1735,Sunday
2026-07-06,21.44,0.1,0,1035,Monday
2026-07-07,18.73,0.02,0,985,Tuesday
2026-07-08,18.18,0.0,0,766,Wednesday
2026-07-09,22.79,0.0,0,721,Thursday
2026-07-10,23.99,0.05,0,748,Friday
2026-07-11,20.3,0.0,0,1173,Saturday
2026-07-12,21.15,0.2,0,1680,Sunday
2026-07-13,18.12,0.05,0,1132,Monday
2026-07-14,22.97,0.05,0,733,Tuesday
2026-07-15,17.75,0.0,0,874,Wednesday
2026-07-16,18.11,0.1,0,1132,Thursday
2026-07-17,21.38,0.1,0,914,Friday
2026-07-18,21.7,0.15,0,1189,Saturday
2026-07-19,23.94,0.15,0,1289,Sunday
2026-07-20,20.16,0.08,0,1056,Monday
2026-07-21,23.58,0.08,0,731,Tuesday
2026-07-22,18.07,0.0,0,1063,Wednesday
2026-07-23,18.71,0.02,0,970,Thursday
2026-07-24,21.99,0.25,0,1524,Friday
2026-07-25,18.43,0.25,0,2039,Saturday
2026-07-26,21.74,0.25,0,1892,Sunday
2026-07-27,18.72,0.02,0,838,Monday
2026-07-28,20.07,0.0,0,758,Tuesday
2026-07-29,17.68,0.0,0,980,Wednesday
2026-07-30,24.26,0.0,0,544,Thursday
2026-07-31,19.68,0.15,0,1236,Friday
